Feedback_ID,Customer_Name,Product,Region,Rating,Feedback_Comment,Date
FB1000,Customer_1,Tablet,South,2,Very satisfied with the product,2024-01-01
FB1001,Customer_2,Smartwatch,South,3,Stopped working after a week,2024-01-02
FB1002,Customer_3,Headphones,South,2,Good value for money,2024-01-03
FB1003,Customer_4,Smartwatch,East,2,Stopped working after a week,2024-01-04
FB1004,Customer_5,Smartwatch,East,2,Great quality and fast delivery,2024-01-05
FB1005,Customer_6,Smartphone,West,1,Stopped working after a week,2024-01-06
FB1006,Customer_7,Headphones,West,1,Good value for money,2024-01-07
FB1007,Customer_8,Headphones,North,1,Good value for money,2024-01-08
FB1008,Customer_9,Headphones,North,3,Excellent customer support,2024-01-09
FB1009,Customer_10,Smartwatch,West,5,Stopped working after a week,2024-01-10
FB1010,Customer_11,Tablet,East,2,Very satisfied with the product,2024-01-11
FB1011,Customer_12,Headphones,South,2,Excellent customer support,2024-01-12
FB1012,Customer_13,Smartwatch,West,3,Stopped working after a week,2024-01-13
FB1013,Customer_14,Smartphone,North,2,Late delivery and bad packaging,2024-01-14
FB1014,Customer_15,Tablet,East,1,Late delivery and bad packaging,2024-01-15
FB1015,Customer_16,Smartphone,West,5,Good value for money,2024-01-16
FB1016,Customer_17,Tablet,West,4,Poor battery life,2024-01-17
FB1017,Customer_18,Smartwatch,East,2,Good value for money,2024-01-18
FB1018,Customer_19,Laptop,West,1,Poor battery life,2024-01-19
FB1019,Customer_20,Tablet,East,4,Poor battery life,2024-01-20
FB1020,Customer_21,Smartphone,South,5,Poor battery life,2024-01-21
FB1021,Customer_22,Smartwatch,East,4,Excellent customer support,2024-01-22
FB1022,Customer_23,Tablet,East,1,Stopped working after a week,2024-01-23
FB1023,Customer_24,Laptop,East,4,Not worth the price,2024-01-24
FB1024,Customer_25,Laptop,West,3,Stopped working after a week,2024-01-25
FB1025,Customer_26,Headphones,West,4,Very satisfied with the product,2024-01-26
FB1026,Customer_27,Headphones,East,2,Poor battery life,2024-01-27
FB1027,Customer_28,Smartphone,West,2,Great quality and fast delivery,2024-01-28
FB1028,Customer_29,Tablet,North,3,Very satisfied with the product,2024-01-29
FB1029,Customer_30,Tablet,North,1,Customer service was unhelpful,2024-01-30
FB1030,Customer_31,Headphones,West,2,Stopped working after a week,2024-01-31
FB1031,Customer_32,Tablet,West,5,Stopped working after a week,2024-02-01
FB1032,Customer_33,Tablet,East,2,Not worth the price,2024-02-02
FB1033,Customer_34,Laptop,South,2,Poor battery life,2024-02-03
FB1034,Customer_35,Headphones,West,1,Customer service was unhelpful,2024-02-04
FB1035,Customer_36,Smartwatch,North,4,Excellent customer support,2024-02-05
FB1036,Customer_37,Headphones,East,2,Excellent customer support,2024-02-06
FB1037,Customer_38,Smartwatch,West,3,Good value for money,2024-02-07
FB1038,Customer_39,Laptop,North,4,Not worth the price,2024-02-08
FB1039,Customer_40,Smartphone,North,5,Good value for money,2024-02-09
FB1040,Customer_41,Tablet,South,1,Customer service was unhelpful,2024-02-10
FB1041,Customer_42,Laptop,East,5,Good value for money,2024-02-11
FB1042,Customer_43,Tablet,East,4,Late delivery and bad packaging,2024-02-12
FB1043,Customer_44,Smartphone,South,4,Stopped working after a week,2024-02-13
FB1044,Customer_45,Smartphone,South,4,Great quality and fast delivery,2024-02-14
FB1045,Customer_46,Laptop,East,5,Highly recommend it,2024-02-15
FB1046,Customer_47,Smartphone,East,4,Highly recommend it,2024-02-16
FB1047,Customer_48,Smartwatch,West,5,Very satisfied with the product,2024-02-17
FB1048,Customer_49,Smartphone,West,4,Not worth the price,2024-02-18
FB1049,Customer_50,Tablet,South,3,Good value for money,2024-02-19
FB1050,Customer_51,Tablet,West,4,Excellent customer support,2024-02-20
FB1051,Customer_52,Tablet,North,5,Stopped working after a week,2024-02-21
FB1052,Customer_53,Tablet,West,2,Customer service was unhelpful,2024-02-22
FB1053,Customer_54,Smartwatch,West,4,Not worth the price,2024-02-23
FB1054,Customer_55,Headphones,North,2,Customer service was unhelpful,2024-02-24
FB1055,Customer_56,Laptop,South,3,Customer service was unhelpful,2024-02-25
FB1056,Customer_57,Tablet,North,1,Good value for money,2024-02-26
FB1057,Customer_58,Smartphone,West,3,Excellent customer support,2024-02-27
FB1058,Customer_59,Tablet,South,4,Poor battery life,2024-02-28
FB1059,Customer_60,Smartphone,West,2,Very satisfied with the product,2024-02-29
FB1060,Customer_61,Smartphone,North,2,Customer service was unhelpful,2024-03-01
FB1061,Customer_62,Tablet,North,5,Good value for money,2024-03-02
FB1062,Customer_63,Smartwatch,West,2,Great quality and fast delivery,2024-03-03
FB1063,Customer_64,Smartphone,East,5,Very satisfied with the product,2024-03-04
FB1064,Customer_65,Smartphone,East,1,Not worth the price,2024-03-05
FB1065,Customer_66,Tablet,North,4,Not worth the price,2024-03-06
FB1066,Customer_67,Smartphone,North,5,Customer service was unhelpful,2024-03-07
FB1067,Customer_68,Smartphone,East,1,Good value for money,2024-03-08
FB1068,Customer_69,Tablet,East,2,Excellent customer support,2024-03-09
FB1069,Customer_70,Tablet,West,2,Customer service was unhelpful,2024-03-10
FB1070,Customer_71,Laptop,West,1,Good value for money,2024-03-11
FB1071,Customer_72,Smartwatch,East,2,Customer service was unhelpful,2024-03-12
FB1072,Customer_73,Smartwatch,West,1,Not worth the price,2024-03-13
FB1073,Customer_74,Smartphone,West,5,Stopped working after a week,2024-03-14
FB1074,Customer_75,Smartwatch,South,5,Excellent customer support,2024-03-15
FB1075,Customer_76,Smartphone,West,1,Poor battery life,2024-03-16
FB1076,Customer_77,Laptop,North,5,Good value for money,2024-03-17
FB1077,Customer_78,Tablet,West,5,Excellent customer support,2024-03-18
FB1078,Customer_79,Tablet,West,5,Excellent customer support,2024-03-19
FB1079,Customer_80,Tablet,East,3,Good value for money,2024-03-20
FB1080,Customer_81,Smartwatch,North,4,Very satisfied with the product,2024-03-21
FB1081,Customer_82,Laptop,West,2,Great quality and fast delivery,2024-03-22
FB1082,Customer_83,Smartwatch,West,3,Late delivery and bad packaging,2024-03-23
FB1083,Customer_84,Smartwatch,South,5,Great quality and fast delivery,2024-03-24
FB1084,Customer_85,Laptop,West,1,Great quality and fast delivery,2024-03-25
FB1085,Customer_86,Laptop,West,5,Good value for money,2024-03-26
FB1086,Customer_87,Laptop,South,4,Late delivery and bad packaging,2024-03-27
FB1087,Customer_88,Laptop,East,5,Customer service was unhelpful,2024-03-28
FB1088,Customer_89,Tablet,West,1,Good value for money,2024-03-29
FB1089,Customer_90,Headphones,South,4,Customer service was unhelpful,2024-03-30
FB1090,Customer_91,Headphones,North,5,Late delivery and bad packaging,2024-03-31
FB1091,Customer_92,Laptop,East,4,Poor battery life,2024-04-01
FB1092,Customer_93,Headphones,North,2,Stopped working after a week,2024-04-02
FB1093,Customer_94,Headphones,North,2,Poor battery life,2024-04-03
FB1094,Customer_95,Laptop,South,5,Great quality and fast delivery,2024-04-04
FB1095,Customer_96,Headphones,West,4,Stopped working after a week,2024-04-05
FB1096,Customer_97,Smartwatch,South,1,Not worth the price,2024-04-06
FB1097,Customer_98,Smartphone,South,5,Not worth the price,2024-04-07
FB1098,Customer_99,Smartphone,South,2,Very satisfied with the product,2024-04-08
FB1099,Customer_100,Laptop,South,2,Stopped working after a week,2024-04-09
FB1100,Customer_101,Tablet,East,5,Good value for money,2024-04-10
FB1101,Customer_102,Laptop,West,4,Highly recommend it,2024-04-11
FB1102,Customer_103,Tablet,North,2,Good value for money,2024-04-12
FB1103,Customer_104,Smartphone,North,4,Poor battery life,2024-04-13
FB1104,Customer_105,Laptop,West,2,Very satisfied with the product,2024-04-14
FB1105,Customer_106,Smartwatch,North,2,Very satisfied with the product,2024-04-15
FB1106,Customer_107,Headphones,West,3,Not worth the price,2024-04-16
FB1107,Customer_108,Tablet,North,2,Late delivery and bad packaging,2024-04-17
FB1108,Customer_109,Headphones,South,1,Excellent customer support,2024-04-18
FB1109,Customer_110,Headphones,North,5,Late delivery and bad packaging,2024-04-19
FB1110,Customer_111,Laptop,West,5,Excellent customer support,2024-04-20
FB1111,Customer_112,Headphones,West,4,Highly recommend it,2024-04-21
FB1112,Customer_113,Smartwatch,West,2,Highly recommend it,2024-04-22
FB1113,Customer_114,Headphones,West,1,Late delivery and bad packaging,2024-04-23
FB1114,Customer_115,Laptop,West,4,Excellent customer support,2024-04-24
FB1115,Customer_116,Smartwatch,East,3,Late delivery and bad packaging,2024-04-25
FB1116,Customer_117,Smartphone,East,4,Stopped working after a week,2024-04-26
FB1117,Customer_118,Headphones,North,4,Customer service was unhelpful,2024-04-27
FB1118,Customer_119,Laptop,West,2,Poor battery life,2024-04-28
FB1119,Customer_120,Smartphone,North,3,Very satisfied with the product,2024-04-29
FB1120,Customer_121,Smartphone,West,4,Great quality and fast delivery,2024-04-30
FB1121,Customer_122,Tablet,West,1,Highly recommend it,2024-05-01
FB1122,Customer_123,Smartwatch,East,1,Excellent customer support,2024-05-02
FB1123,Customer_124,Headphones,East,5,Highly recommend it,2024-05-03
FB1124,Customer_125,Laptop,South,3,Great quality and fast delivery,2024-05-04
FB1125,Customer_126,Tablet,East,3,Not worth the price,2024-05-05
FB1126,Customer_127,Smartwatch,South,5,Highly recommend it,2024-05-06
FB1127,Customer_128,Tablet,South,4,Customer service was unhelpful,2024-05-07
FB1128,Customer_129,Smartwatch,South,3,Not worth the price,2024-05-08
FB1129,Customer_130,Smartwatch,South,1,Good value for money,2024-05-09
FB1130,Customer_131,Headphones,South,1,Stopped working after a week,2024-05-10
FB1131,Customer_132,Smartwatch,North,2,Not worth the price,2024-05-11
FB1132,Customer_133,Tablet,East,3,Stopped working after a week,2024-05-12
FB1133,Customer_134,Smartwatch,South,4,Late delivery and bad packaging,2024-05-13
FB1134,Customer_135,Headphones,West,5,Customer service was unhelpful,2024-05-14
FB1135,Customer_136,Headphones,East,5,Excellent customer support,2024-05-15
FB1136,Customer_137,Tablet,East,4,Very satisfied with the product,2024-05-16
FB1137,Customer_138,Smartphone,South,2,Customer service was unhelpful,2024-05-17
FB1138,Customer_139,Smartphone,North,5,Customer service was unhelpful,2024-05-18
FB1139,Customer_140,Smartwatch,South,3,Customer service was unhelpful,2024-05-19
FB1140,Customer_141,Laptop,North,2,Poor battery life,2024-05-20
FB1141,Customer_142,Smartwatch,West,3,Customer service was unhelpful,2024-05-21
FB1142,Customer_143,Tablet,East,1,Good value for money,2024-05-22
FB1143,Customer_144,Tablet,West,2,Customer service was unhelpful,2024-05-23
FB1144,Customer_145,Tablet,North,5,Late delivery and bad packaging,2024-05-24
FB1145,Customer_146,Tablet,North,2,Not worth the price,2024-05-25
FB1146,Customer_147,Tablet,West,2,Late delivery and bad packaging,2024-05-26
FB1147,Customer_148,Headphones,North,2,Customer service was unhelpful,2024-05-27
FB1148,Customer_149,Smartphone,West,2,Good value for money,2024-05-28
FB1149,Customer_150,Tablet,East,3,Not worth the price,2024-05-29
FB1150,Customer_151,Laptop,West,1,Not worth the price,2024-05-30
FB1151,Customer_152,Laptop,East,4,Not worth the price,2024-05-31
FB1152,Customer_153,Laptop,West,2,Late delivery and bad packaging,2024-06-01
FB1153,Customer_154,Laptop,North,5,Customer service was unhelpful,2024-06-02
FB1154,Customer_155,Headphones,West,2,Excellent customer support,2024-06-03
FB1155,Customer_156,Laptop,North,5,Good value for money,2024-06-04
FB1156,Customer_157,Tablet,West,3,Late delivery and bad packaging,2024-06-05
FB1157,Customer_158,Smartwatch,West,5,Excellent customer support,2024-06-06
FB1158,Customer_159,Laptop,South,4,Highly recommend it,2024-06-07
FB1159,Customer_160,Headphones,North,1,Stopped working after a week,2024-06-08
FB1160,Customer_161,Headphones,South,5,Great quality and fast delivery,2024-06-09
FB1161,Customer_162,Laptop,North,5,Good value for money,2024-06-10
FB1162,Customer_163,Smartwatch,South,1,Great quality and fast delivery,2024-06-11
FB1163,Customer_164,Laptop,East,4,Excellent customer support,2024-06-12
FB1164,Customer_165,Headphones,West,2,Customer service was unhelpful,2024-06-13
FB1165,Customer_166,Smartphone,North,5,Poor battery life,2024-06-14
FB1166,Customer_167,Tablet,North,1,Customer service was unhelpful,2024-06-15
FB1167,Customer_168,Headphones,West,3,Stopped working after a week,2024-06-16
FB1168,Customer_169,Laptop,North,1,Good value for money,2024-06-17
FB1169,Customer_170,Tablet,North,3,Not worth the price,2024-06-18
FB1170,Customer_171,Laptop,South,4,Poor battery life,2024-06-19
FB1171,Customer_172,Laptop,North,2,Stopped working after a week,2024-06-20
FB1172,Customer_173,Smartphone,East,1,Very satisfied with the product,2024-06-21
FB1173,Customer_174,Tablet,East,5,Excellent customer support,2024-06-22
FB1174,Customer_175,Tablet,West,4,Excellent customer support,2024-06-23
FB1175,Customer_176,Smartphone,North,1,Stopped working after a week,2024-06-24
FB1176,Customer_177,Headphones,West,5,Poor battery life,2024-06-25
FB1177,Customer_178,Laptop,East,1,Customer service was unhelpful,2024-06-26
FB1178,Customer_179,Smartwatch,North,3,Very satisfied with the product,2024-06-27
FB1179,Customer_180,Laptop,North,1,Stopped working after a week,2024-06-28
FB1180,Customer_181,Laptop,West,1,Customer service was unhelpful,2024-06-29
FB1181,Customer_182,Headphones,East,1,Poor battery life,2024-06-30
FB1182,Customer_183,Laptop,North,4,Not worth the price,2024-07-01
FB1183,Customer_184,Smartphone,West,1,Poor battery life,2024-07-02
FB1184,Customer_185,Smartphone,East,5,Customer service was unhelpful,2024-07-03
FB1185,Customer_186,Tablet,West,3,Excellent customer support,2024-07-04
FB1186,Customer_187,Smartwatch,South,3,Poor battery life,2024-07-05
FB1187,Customer_188,Laptop,North,1,Good value for money,2024-07-06
FB1188,Customer_189,Laptop,South,4,Highly recommend it,2024-07-07
FB1189,Customer_190,Headphones,East,4,Not worth the price,2024-07-08
FB1190,Customer_191,Smartphone,South,5,Customer service was unhelpful,2024-07-09
FB1191,Customer_192,Smartwatch,South,1,Customer service was unhelpful,2024-07-10
FB1192,Customer_193,Tablet,East,3,Excellent customer support,2024-07-11
FB1193,Customer_194,Smartphone,West,4,Good value for money,2024-07-12
FB1194,Customer_195,Tablet,South,1,Not worth the price,2024-07-13
FB1195,Customer_196,Headphones,West,4,Late delivery and bad packaging,2024-07-14
FB1196,Customer_197,Headphones,South,4,Customer service was unhelpful,2024-07-15
FB1197,Customer_198,Laptop,West,3,Very satisfied with the product,2024-07-16
FB1198,Customer_199,Smartwatch,East,2,Poor battery life,2024-07-17
FB1199,Customer_200,Tablet,South,5,Poor battery life,2024-07-18
